Date,Commodity,Price,Temperature,Rainfall
2024-03-01,Onion,71,38,7
2024-03-02,Onion,34,25,5
2024-03-03,Onion,91,33,7
2024-03-04,Onion,80,31,8
2024-03-05,Onion,40,22,3
2024-03-06,Onion,94,17,0
2024-03-07,Onion,94,17,0
2024-03-08,Onion,43,15,9
2024-03-09,Onion,22,19,3
2024-03-10,Onion,41,24,6
2024-03-11,Onion,72,21,1
2024-03-12,Onion,21,23,2
2024-03-13,Onion,49,21,0
2024-03-14,Onion,57,23,4
2024-03-15,Onion,21,22,0
2024-03-16,Onion,83,26,7
2024-03-17,Onion,79,16,0
2024-03-18,Onion,40,15,0
2024-03-19,Onion,52,30,1
2024-03-20,Onion,95,37,1
2024-03-21,Onion,77,37,5
2024-03-22,Onion,41,38,6
2024-03-23,Onion,68,19,4
2024-03-24,Onion,78,17,0
2024-03-25,Onion,61,26,0
2024-03-26,Onion,79,22,2
2024-03-27,Onion,99,36,1
2024-03-28,Onion,34,17,4
2024-03-29,Onion,81,15,9
2024-03-30,Onion,81,17,5
2024-03-01,Potato,66,19,6
2024-03-02,Potato,81,29,3
2024-03-03,Potato,70,28,6
2024-03-04,Potato,74,17,7
2024-03-05,Potato,83,15,0
2024-03-06,Potato,22,19,5
2024-03-07,Potato,70,37,7
2024-03-08,Potato,26,28,4
2024-03-09,Potato,40,21,3
2024-03-10,Potato,92,23,1
2024-03-11,Potato,58,29,5
2024-03-12,Potato,37,29,5
2024-03-13,Potato,23,24,0
2024-03-14,Potato,79,27,8
2024-03-15,Potato,33,33,5
2024-03-16,Potato,28,21,2
2024-03-17,Potato,72,31,3
2024-03-18,Potato,21,34,3
2024-03-19,Potato,79,18,2
2024-03-20,Potato,90,19,9
2024-03-21,Potato,63,37,2
2024-03-22,Potato,27,21,2
2024-03-23,Potato,66,27,3
2024-03-24,Potato,54,29,6
2024-03-25,Potato,97,25,3
2024-03-26,Potato,55,18,8
2024-03-27,Potato,69,27,0
2024-03-28,Potato,23,21,7
2024-03-29,Potato,21,33,6
2024-03-30,Potato,25,36,1
2024-03-01,Pulses,73,16,7
2024-03-02,Pulses,23,24,0
2024-03-03,Pulses,73,27,8
2024-03-04,Pulses,82,39,8
2024-03-05,Pulses,37,35,1
2024-03-06,Pulses,63,20,6
2024-03-07,Pulses,53,26,9
2024-03-08,Pulses,93,26,2
2024-03-09,Pulses,81,34,6
2024-03-10,Pulses,33,25,9
2024-03-11,Pulses,67,37,8
2024-03-12,Pulses,34,39,3
2024-03-13,Pulses,91,21,0
2024-03-14,Pulses,97,15,1
2024-03-15,Pulses,81,15,0
2024-03-16,Pulses,59,39,4
2024-03-17,Pulses,99,39,4
2024-03-18,Pulses,72,34,6
2024-03-19,Pulses,43,27,8
2024-03-20,Pulses,45,23,8
2024-03-21,Pulses,79,17,2
2024-03-22,Pulses,60,21,2
2024-03-23,Pulses,48,20,2
2024-03-24,Pulses,34,22,3
2024-03-25,Pulses,64,23,7
2024-03-26,Pulses,84,19,5
2024-03-27,Pulses,90,15,7
2024-03-28,Pulses,28,33,0
2024-03-29,Pulses,20,24,7
2024-03-30,Pulses,27,26,3
